id	label
1.png	frog
2.png	truck
3.png	truck
4.png	deer
5.png	automobile
6.png	automobile
7.png	bird
8.png	horse
9.png	ship
10.png	cat
11.png	deer
12.png	horse
13.png	horse
14.png	bird
15.png	truck
16.png	truck
17.png	truck
18.png	cat
19.png	bird
20.png	frog
21.png	deer
22.png	cat
23.png	frog
24.png	frog
25.png	bird
26.png	frog
27.png	cat
28.png	dog
29.png	deer
30.png	airplane
31.png	airplane
32.png	truck
33.png	automobile
34.png	cat
35.png	deer
36.png	airplane
37.png	cat
38.png	horse
39.png	cat
40.png	cat
41.png	dog
42.png	bird
43.png	bird
44.png	horse
45.png	automobile
46.png	automobile
47.png	automobile
48.png	bird
49.png	bird
50.png	airplane
51.png	truck
52.png	dog
53.png	horse
54.png	truck
55.png	bird
56.png	bird
57.png	dog
58.png	bird
59.png	deer
60.png	cat
61.png	automobile
62.png	automobile
63.png	ship
64.png	bird
65.png	automobile
66.png	automobile
67.png	deer
68.png	truck
69.png	horse
70.png	ship
71.png	dog
72.png	truck
73.png	frog
74.png	horse
75.png	cat
76.png	automobile
77.png	truck
78.png	airplane
79.png	cat
80.png	automobile
81.png	cat
82.png	dog
83.png	deer
84.png	dog
85.png	horse
86.png	horse
87.png	deer
88.png	horse
89.png	truck
90.png	deer
91.png	bird
92.png	cat
93.png	ship
94.png	airplane
95.png	automobile
96.png	frog
97.png	automobile
98.png	automobile
99.png	deer
100.png	automobile
101.png	ship
102.png	cat
103.png	truck
104.png	frog
105.png	frog
106.png	automobile
107.png	ship
108.png	dog
109.png	bird
110.png	truck
111.png	truck
112.png	ship
113.png	automobile
114.png	horse
115.png	horse
116.png	airplane
117.png	airplane
118.png	frog
119.png	truck
120.png	automobile
121.png	bird
122.png	bird
123.png	truck
124.png	bird
125.png	frog
126.png	frog
127.png	automobile
128.png	truck
129.png	dog
130.png	airplane
131.png	deer
132.png	horse
133.png	frog
134.png	horse
135.png	automobile
136.png	ship
137.png	automobile
138.png	automobile
139.png	bird
140.png	ship
141.png	automobile
142.png	cat
143.png	cat
144.png	frog
145.png	bird
146.png	deer
147.png	truck
148.png	truck
149.png	dog
150.png	deer
151.png	cat
152.png	frog
153.png	horse
154.png	deer
155.png	frog
156.png	ship
157.png	dog
158.png	dog
159.png	deer
160.png	cat
161.png	automobile
162.png	ship
163.png	deer
164.png	horse
165.png	frog
166.png	airplane
167.png	truck
168.png	dog
169.png	automobile
170.png	cat
171.png	ship
172.png	bird
173.png	horse
174.png	dog
175.png	cat
176.png	deer
177.png	automobile
178.png	dog
179.png	horse
180.png	airplane
181.png	deer
182.png	horse
183.png	dog
184.png	dog
185.png	automobile
186.png	airplane
187.png	truck
188.png	frog
189.png	truck
190.png	airplane
191.png	ship
192.png	horse
193.png	ship
194.png	ship
195.png	bird
196.png	dog
197.png	bird
198.png	cat
199.png	dog
200.png	airplane
201.png	frog
202.png	automobile
203.png	truck
204.png	cat
205.png	frog
206.png	truck
207.png	automobile
208.png	cat
209.png	truck
210.png	frog
211.png	frog
212.png	horse
213.png	automobile
214.png	airplane
215.png	truck
216.png	dog
217.png	ship
218.png	dog
219.png	bird
220.png	truck
221.png	airplane
222.png	ship
223.png	ship
224.png	airplane
225.png	frog
226.png	truck
227.png	automobile
228.png	automobile
229.png	frog
230.png	cat
231.png	horse
232.png	frog
233.png	frog
234.png	airplane
235.png	frog
236.png	frog
237.png	automobile
238.png	horse
239.png	automobile
240.png	dog
241.png	ship
242.png	cat
243.png	frog
244.png	frog
245.png	ship
246.png	frog
247.png	ship
248.png	deer
249.png	frog
250.png	frog
251.png	automobile
252.png	cat
253.png	ship
254.png	cat
255.png	deer
256.png	automobile
257.png	horse
258.png	automobile
259.png	cat
260.png	ship
261.png	dog
262.png	automobile
263.png	automobile
264.png	deer
265.png	airplane
266.png	truck
267.png	cat
268.png	horse
269.png	deer
270.png	truck
271.png	truck
272.png	bird
273.png	deer
274.png	truck
275.png	truck
276.png	automobile
277.png	airplane
278.png	dog
279.png	truck
280.png	airplane
281.png	ship
282.png	bird
283.png	automobile
284.png	bird
285.png	airplane
286.png	dog
287.png	frog
288.png	cat
289.png	bird
290.png	horse
291.png	ship
292.png	ship
293.png	frog
294.png	airplane
295.png	horse
296.png	truck
297.png	deer
298.png	dog
299.png	frog
300.png	deer
301.png	bird
302.png	automobile
303.png	automobile
304.png	bird
305.png	automobile
306.png	dog
307.png	truck
308.png	truck
309.png	airplane
310.png	ship
311.png	deer
312.png	automobile
313.png	automobile
314.png	frog
315.png	cat
316.png	cat
317.png	truck
318.png	airplane
319.png	horse
320.png	truck
321.png	horse
322.png	horse
323.png	truck
324.png	automobile
325.png	dog
326.png	automobile
327.png	frog
328.png	frog
329.png	ship
330.png	horse
331.png	automobile
332.png	cat
333.png	airplane
334.png	cat
335.png	cat
336.png	bird
337.png	deer
338.png	dog
339.png	horse
340.png	dog
341.png	truck
342.png	airplane
343.png	cat
344.png	deer
345.png	airplane
346.png	deer
347.png	deer
348.png	frog
349.png	airplane
350.png	airplane
351.png	frog
352.png	frog
353.png	airplane
354.png	ship
355.png	automobile
356.png	frog
357.png	bird
358.png	truck
359.png	bird
360.png	dog
361.png	truck
362.png	frog
363.png	horse
364.png	deer
365.png	automobile
366.png	ship
367.png	horse
368.png	cat
369.png	frog
370.png	truck
371.png	cat
372.png	airplane
373.png	deer
374.png	airplane
375.png	dog
376.png	automobile
377.png	airplane
378.png	cat
379.png	deer
380.png	ship
381.png	dog
382.png	deer
383.png	horse
384.png	bird
385.png	cat
386.png	truck
387.png	horse
388.png	frog
389.png	horse
390.png	automobile
391.png	deer
392.png	horse
393.png	airplane
394.png	automobile
395.png	horse
396.png	cat
397.png	automobile
398.png	ship
399.png	deer
400.png	deer
401.png	bird
402.png	airplane
403.png	bird
404.png	bird
405.png	airplane
406.png	airplane
407.png	truck
408.png	airplane
409.png	truck
410.png	frog
411.png	ship
412.png	bird
413.png	horse
414.png	horse
415.png	deer
416.png	airplane
417.png	cat
418.png	airplane
419.png	ship
420.png	truck
421.png	deer
422.png	bird
423.png	horse
424.png	bird
425.png	dog
426.png	bird
427.png	dog
428.png	automobile
429.png	truck
430.png	deer
431.png	ship
432.png	dog
433.png	automobile
434.png	horse
435.png	deer
436.png	deer
437.png	airplane
438.png	frog
439.png	truck
440.png	airplane
441.png	horse
442.png	ship
443.png	ship
444.png	truck
445.png	truck
446.png	cat
447.png	cat
448.png	deer
449.png	airplane
450.png	deer
451.png	dog
452.png	frog
453.png	frog
454.png	airplane
455.png	automobile
456.png	airplane
457.png	ship
458.png	airplane
459.png	deer
460.png	ship
461.png	ship
462.png	automobile
463.png	dog
464.png	bird
465.png	frog
466.png	ship
467.png	automobile
468.png	airplane
469.png	airplane
470.png	horse
471.png	horse
472.png	dog
473.png	truck
474.png	frog
475.png	bird
476.png	ship
477.png	cat
478.png	deer
479.png	horse
480.png	cat
481.png	truck
482.png	airplane
483.png	automobile
484.png	bird
485.png	deer
486.png	ship
487.png	automobile
488.png	ship
489.png	frog
490.png	deer
491.png	deer
492.png	dog
493.png	horse
494.png	automobile
495.png	cat
496.png	truck
497.png	ship
498.png	airplane
499.png	automobile
500.png	horse
